Topics , Avg F120 
20, 0.263967288614890519 
19, 0.2750169269084584718 
18, 0.2870279302307474617 
17, 0.30016774616366416 
16, 0.314541623356540615 
15, 0.3303466470134529514 
14, 0.347779651462402313 
13, 0.367135025071262412 
12, 0.3886605790431083611 
11, 0.412839397483419910 
10, 0.44011462390903459 
9, 0.47101523078346538 
8, 0.50618838833581297 
7, 0.54594535636430916 
6, 0.59083970991062585 
5, 0.64107084900101044 
4, 0.68934221255390383 
3, 0.72478799833969562 
2, 0.69176873776452061 
1, 0.514511760994524
